,College Names,Degress,Course,City,State,Rating for 5,Rank,Total Rank,Year of Rank,Fees in Ruppes,Average Package,Highest Package,Approved
106,St Aloysius (Deemed To Be University),B.Sc,B.Sc Data Science, Mangalore, Karnataka,3.8,100,277,2025,"₹ 2,40,600",,"15,00,000","NCTE, AICTE, BCI, UGC "
107,Dr. N.G.P. Arts and Science College,B.Sc,B.Sc Computer Science, Coimbatore, Tamil Nadu,4,102,277,2025,"₹ 2,28,000","3,30,000","9,00,000",UGC 
108,SVKM's Narsee Monjee Institute of Management Studies,B.Sc,B.Sc Applied Psychology, Navi Mumbai, Maharashtra,4.1,103,277,2025,"₹ 6,75,000","13,35,000","20,97,000","AICTE, BCI, UGC "
109,The Oxford College of Science,B.Sc,B.Sc Biotechnology, Bangalore, Karnataka,3.5,104,277,2025,"₹ 1,80,000",,,UGC 
110,Bishop Heber College,B.Sc,B.Sc Computer Science, Tiruchirappalli, Tamil Nadu,4.2,105,277,2025,"₹ 1,00,620","12,00,000","35,00,000","AICTE, UGC "
111,JD Birla Institute,B.Sc,B.Sc {Hons.} Food & Nutrition, Kolkata, West Bengal,3.8,106,277,2025,"₹ 8,45,200","5,00,000","9,00,000",
112,Ramniranjan Jhunjhunwala College,B.Sc,B.Sc Computer Science, Mumbai, Maharashtra,4.1,107,277,2025,"₹ 1,16,555","2,40,000","12,41,000",UGC 
113,Raja Bahadur Venkat Rama Reddy Women's College,B.Sc,B.Sc Forensic Sciences, Hyderabad, Telangana,4.2,108,277,2025,"₹ 38,385","3,00,000","6,00,000",
114,SRM Arts and Science College,B.Sc,B.Sc Computer Science, Kanchipuram, Tamil Nadu,3.9,109,277,2025,"₹ 1,33,000","5,10,000","10,20,000",AICTE 
115,Guru Nanak College (Autonomous),B.Sc,B.Sc Computer Science, Chennai, Tamil Nadu,4.1,110,277,2025,"₹ 2,25,000",,,AICTE 
