,College Names,Degress,Course,City,State,Rating for 5,Rank,Total Rank,Year of Rank,Fees in Ruppes,Average Package,Highest Package,Approved
206,MKSSS's Cummins College of Engineering for Women,BE/B.Tech,B.Tech Computer Engineering, Pune, Maharashtra,4.1,213,500,2025,"₹ 7,07,109","17,00,000","36,00,000","AICTE, NBA "
207,Gurugram University,BE/B.Tech,B.Tech Artificial Intelligence, Gurgaon, Haryana,4,214,500,2025,"₹ 4,00,000","3,50,000","18,00,000","AICTE, BCI, UGC "
208,Arni University,BE/B.Tech,B.Tech Computer Science and Engineering, Kangra, Himachal Pradesh,4.1,215,500,2025,"₹ 2,80,000",,,"AICTE, PCI, BCI, UGC, AIU "
209,NorthEastern Hill University,BE/B.Tech,B.Tech Information Technology, Shillong, Meghalaya,3.7,217,500,2025,"₹ 2,00,520","4,00,000","7,00,000",UGC 
210,Delhi Skill and Entrepreneurship University (DSEU),BE/B.Tech,B.Tech Computer Science and Engineering, New Delhi, Delhi NCR,3.7,218,500,2025,"₹ 7,45,800","2,40,000","5,00,000",
211,University College of Engineering,BE/B.Tech,B.Tech Electronics & Communication Engineering, Vizianagaram, Andhra Pradesh,3.7,219,500,2025,"₹ 1,80,000",,,"AICTE, UGC, MHRD "
212,Veer Surendra Sai University of Technology,BE/B.Tech,B.Tech Computer Science and Engineering, Burla, Odisha,4,220,500,2025,"₹ 1,88,490","6,17,000","24,00,000","AICTE, COA, UGC "
213,Institute of Engineering and Management,BE/B.Tech,B.Tech Computer Science and Engineering, Kolkata, West Bengal,4,221,500,2025,"₹ 8,65,000","7,50,000","32,00,000","AICTE, NBA "
214,Faculty of Technology,BE/B.Tech,B.Tech Computer Engineering, Nadiad, Gujarat,3.5,223,500,2025,"₹ 7,40,000",,"21,00,000","AICTE, UGC, NBA "
215,KLE Technological University,BE/B.Tech,BE Computer Science And Engineering, Hubli, Karnataka,4.2,224,500,2025,"₹ 12,04,400","5,30,000","46,38,000","AICTE, UGC "
216,Guru Nanak Dev University,BE/B.Tech,B.Tech Computer Science and Engineering, Amritsar, Punjab,3.8,226,500,2025,"₹ 3,88,240","6,37,000","44,00,000",UGC 
217,University Institute of Engineering and Technology,BE/B.Tech,B.Tech Computer Science and Engineering, Rohtak, Haryana,3.7,227,500,2025,"₹ 3,48,368",,,AICTE 
218,Kamla Nehru Institute of Technology,BE/B.Tech,B.Tech Computer Science and Engineering, Sultanpur, Uttar Pradesh,4,228,500,2025,"₹ 2,95,400","8,30,000","45,00,000","AICTE, UGC, NBA "
219,Indian Institute of Food Processing Technology,BE/B.Tech,B.Tech Food Technology, Thanjavur, Tamil Nadu,4.1,229,500,2025,"₹ 6,24,500",,,AICTE 
220,Central University of Haryana,BE/B.Tech,B.Tech Computer Science and Engineering, Mahendragarh, Haryana,3.7,230,500,2025,"₹ 2,06,234",,,UGC 
221,Sri Venkateswara University College of Engineering,BE/B.Tech,B.Tech Computer Science and Engineering, Tirupati, Andhra Pradesh,4,233,500,2025,"₹ 1,68,480","6,23,000","18,00,000","AICTE, NBA "
222,DRIEMS University,BE/B.Tech,B.Tech Computer Science and Engineering, Cuttack, Odisha,4,234,500,2025,"₹ 6,36,000","4,00,000","16,00,000","UGC, NBA "
223,Heritage Institute of Technology,BE/B.Tech,B.Tech Computer Science and Engineering, Kolkata, West Bengal,4.2,235,500,2025,"₹ 5,89,200","4,62,100","1,13,00,000","AICTE, NBA "
224,Arka Jain University,BE/B.Tech,B.Tech Computer Science and Engineering, Jamshedpur, Jharkhand,4,236,500,2025,"₹ 6,12,000","3,20,000","23,00,000","AICTE, PCI, INC, BCI, UGC "
225,Madras Institute of Technology,BE/B.Tech,BE Aeronautical Engineering, Chennai, Tamil Nadu,4.1,237,500,2025,"₹ 1,62,400","6,93,000","36,50,000","AICTE, NBA "
226,Jalpaiguri Government Engineering College,BE/B.Tech,B.Tech Computer Science and Engineering, Jalpaiguri, West Bengal,4,238,500,2025,"₹ 61,973","10,50,000","54,00,000","AICTE, UGC, NBA "
227,UNIRAJ University of Rajasthan,BE/B.Tech,B.Tech + M.Tech, Jaipur, Rajasthan,3.8,240,500,2025,"₹ 4,84,000",,,UGC 
228,L.D. College of Engineering,BE/B.Tech,BE Computer Engineering, Ahmedabad, Gujarat,4.2,241,500,2025,"₹ 8,190","4,50,000","19,00,000","AICTE, NBA "
229,Bangalore Institute of Technology,BE/B.Tech,BE Computer Science And Engineering, Bangalore, Karnataka,3.8,242,500,2025,"₹ 11,44,352","10,00,000","58,00,000","AICTE, NBA "
230,Pimpri Chinchwad College of Engineering,BE/B.Tech,B.Tech Computer Engineering, Pune, Maharashtra,4,243,500,2025,"₹ 21,18,984","9,54,000","14,00,000","AICTE, NBA "
231,Shri Vishnu Engineering College for Women,BE/B.Tech,B.Tech Computer Science and Engineering, Bhimavaram, Andhra Pradesh,4.3,244,500,2025,"₹ 4,20,000","9,54,000","46,00,000","AICTE, NBA "
232,Indira Gandhi Institute of Technology,BE/B.Tech,B.Tech Computer Science and Engineering, Dhenkanal, Odisha,4,245,500,2025,"₹ 1,21,600","3,00,000","11,88,000",AICTE 
233,Government College of Engineering and Leather Technology,BE/B.Tech,B.Tech Computer Science and Engineering, Saltlake, West Bengal,3.7,246,500,2025,"₹ 61,650","5,70,000","14,00,000",AICTE 
234,Amity University,BE/B.Tech,B.Tech Computer Science and Engineering, Jaipur, Rajasthan,4.1,247,500,2025,"₹ 13,36,000","4,84,000","52,76,000","AICTE, RCI, COA, BCI, UGC "
235,Pandit Deendayal Energy University,BE/B.Tech,B.Tech Computer Engineering, Gandhinagar, Gujarat,4.2,248,500,2025,"₹ 11,66,000","7,50,000","42,00,000","UGC, NBA "
236,Bundelkhand Institute of Engineering & Technology,BE/B.Tech,B.Tech Computer Science and Engineering, Jhansi, Uttar Pradesh,3.6,249,500,2025,"₹ 2,67,600","5,35,000","17,00,000","AICTE, UGC, NBA "
237,NIE Institute of Technology,BE/B.Tech,BE Computer Science And Engineering, Mysore, Karnataka,4,250,500,2025,"₹ 1,39,970","9,75,000","56,00,000","AICTE, UGC, NBA "
238,Sardar Patel College of Engineering,BE/B.Tech,B.Tech Civil Engineering, Mumbai, Maharashtra,4,251,500,2025,"₹ 3,39,336","6,00,000","27,00,000","AICTE, UGC, NBA "
239,Institute of Infrastructure Technology Research and Management,BE/B.Tech,B.Tech Computer Engineering, Ahmedabad, Gujarat,3.9,252,500,2025,"₹ 4,82,000",,,UGC 
240,CGC University,BE/B.Tech,B.Tech Computer Science and Engineering, Mohali, Punjab,4.1,253,500,2025,"₹ 8,40,000","10,00,000","1,00,00,000",NBA 
241,National Power Training Institute,BE/B.Tech,B.Tech Power Engineering, Durgapur, West Bengal,3.6,254,500,2025,"₹ 2,68,800","3,10,000","4,50,000",AICTE 
242,Vishnu Institute of Technology,BE/B.Tech,B.Tech Computer Science and Engineering, Bhimavaram, Andhra Pradesh,4.1,256,500,2025,"₹ 4,12,000","4,28,000","44,00,000","AICTE, UGC, NBA "
243,Kalasalingam Academy of Research and Education,BE/B.Tech,B.Tech Computer Science and Engineering, Krishnankovil, Tamil Nadu,3.5,257,500,2025,"₹ 7,98,000","4,50,000","50,00,000","BCI, UGC, NBA "
244,The National Institute of Engineering,BE/B.Tech,BE Computer Science And Engineering, Mysore, Karnataka,4,258,500,2025,"₹ 2,76,800","10,50,000","70,00,000","AICTE, UGC "
245,University of Engineering and Management,BE/B.Tech,B.Tech Computer Science and Engineering, Kolkata, West Bengal,3.9,259,500,2025,"₹ 8,72,500","8,48,000","72,00,000","AICTE, BCI, UGC, AIU "
246,Sir Padampat Singhania University,BE/B.Tech,B.Tech Biotechnology, Udaipur, Rajasthan,3.8,260,500,2025,"₹ 8,15,000","6,00,000","13,70,000","UGC, AIU "
247,BMS Institute of Technology and Management,BE/B.Tech,BE Computer Science And Engineering, Bangalore, Karnataka,4,261,500,2025,"₹ 30,00,000","8,07,000","46,40,000","AICTE, UGC, NBA "
248,Vishwakarma Institute of Information Technology,BE/B.Tech,B.Tech Computer Engineering, Pune, Maharashtra,4,262,500,2025,"₹ 8,24,000","7,70,000","33,00,000",NBA 
249,University College of Engineering and Technology,BE/B.Tech,B.Tech Computer Science and Engineering, Hazaribagh, Jharkhand,3.5,263,500,2025,"₹ 2,54,000",,,"AICTE, UGC "
250,Vishwakarma Government Engineering College,BE/B.Tech,BE Computer Engineering, Ahmedabad, Gujarat,4,264,500,2025,"₹ 6,000",,"23,00,000",AICTE 
251,RVR and JC College of Engineering,BE/B.Tech,B.Tech Computer Science and Engineering, Guntur, Andhra Pradesh,4.1,265,500,2025,"₹ 4,20,000","4,70,000","46,38,000",AICTE 
252,Government College of Engineering & Textile Technology,BE/B.Tech,B.Tech Apparel Production Management, Serampore, West Bengal,3.8,267,500,2025,"₹ 53,400","4,20,000","12,50,000",AICTE 
253,Poornima College of Engineering,BE/B.Tech,B.Tech Computer Engineering, Jaipur, Rajasthan,3.9,268,500,2025,"₹ 5,41,460","4,61,000","10,00,000","AICTE, NBA "
254,Vivekanand Education Society Institute of Technology,BE/B.Tech,BE Computer Engineering, Mumbai, Maharashtra,4,269,500,2025,"₹ 6,04,000",,"14,00,000","AICTE, NBA "
255,Faculty of Technology and Engineering,BE/B.Tech,BE Computer Science And Engineering, Vadodara, Gujarat,4.1,270,500,2025,"₹ 1,05,000","7,00,000","11,00,000",AICTE 
256,Anil Neerukonda Institute of Technology & Sciences,BE/B.Tech,B.Tech Computer Science and Engineering, Visakhapatnam, Andhra Pradesh,3.9,271,500,2025,"₹ 3,36,400","4,44,000","12,00,000","AICTE, UGC, NBA "
257,JSS Academy of Technical Education,BE/B.Tech,B.Tech Computer Science and Engineering, Noida, Uttar Pradesh,3.7,272,500,2025,"₹ 4,94,400","6,50,000","57,00,000","AICTE, PCI, NBA "
258,Bidhan Chandra Krishi Viswavidyalaya,BE/B.Tech,B.Tech Agricultural Engineering, Mohanpur, West Bengal,4,273,500,2025,"₹ 1,17,100",,,ICAR 
259,Ajay Kumar Garg Engineering College,BE/B.Tech,B.Tech Computer Science and Engineering, Ghaziabad, Uttar Pradesh,3.8,274,500,2025,"₹ 4,75,924","5,41,000","30,00,000","AICTE, NBA "
260,Haldia Institute of Technology,BE/B.Tech,B.Tech Computer Science and Engineering, Haldia, West Bengal,3.9,275,500,2025,"₹ 5,82,700","5,00,000","45,00,000","AICTE, UGC, NBA "
261,Jairupaa College of Engineering,BE/B.Tech,BE Electrical And Electronics Engineering, Tiruppur, Tamil Nadu,2.6,276,500,2025,"₹ 3,48,000",,,NCTE 
262,Siddaganga Institute of Technology,BE/B.Tech,BE Computer Science And Engineering, Tumkur, Karnataka,3.9,277,500,2025,"₹ 11,76,510","9,00,000","32,88,000","AICTE, NBA "
263,KJ Somaiya Institute of Engineering and Information Technology,BE/B.Tech,BE Artificial Intelligence and Data Science, Mumbai, Maharashtra,4,278,500,2025,"₹ 8,27,600","6,00,000","17,50,000",AICTE 
264,Swami Vivekanand Institute of Engineering & Technology,BE/B.Tech,B.Tech Computer Science and Engineering, Chandigarh, Chandigarh,4,279,500,2025,"₹ 4,00,000","6,50,000","60,00,000","AICTE, PCI "
265,Chandubhai S Patel Institute of Technology,BE/B.Tech,B.Tech Computer Engineering, Anand, Gujarat,4.1,280,500,2025,"₹ 5,12,000",,,AICTE 
266,National Institute of Electronics and Information Technology,BE/B.Tech,B.Tech Electronics Engineering, Aurangabad, Maharashtra,3.8,281,500,2025,"₹ 4,30,000",,,AICTE 
267,Rajiv Gandhi Proudyogiki Vishwavidyalaya,BE/B.Tech,B.Tech Computer Science and Engineering, Bhopal, Madhya Pradesh,3.6,251,300,2022,"₹ 1,31,940","3,50,000","18,00,000",
268,Thadomal Shahani Engineering College,BE/B.Tech,BE Computer Engineering, Mumbai, Maharashtra,3.7,283,500,2025,"₹ 8,19,397",,"20,20,000","AICTE, NBA "
269,Manipal Institute of Technology Bengaluru,BE/B.Tech,B.Tech Computer Science and Engineering, Bangalore, Karnataka,4.2,284,500,2025,"₹ 24,30,000","10,49,000","57,00,000","AICTE, MHRD "
270,Techno Main Salt Lake,BE/B.Tech,B.Tech Computer Science and Engineering, Kolkata, West Bengal,3.9,285,500,2025,"₹ 4,02,000","7,50,000","29,00,000","AICTE, COA, PCI, INC, BCI "
