,College Names,Degress,Course,City,State,Rating for 5,Rank,Total Rank,Year of Rank,Fees in Ruppes,Average Package,Highest Package,Approved
233,Soundarya Institute of Management and Science,BA,BA, Bangalore, Karnataka,4,231,255,2025,"₹ 1,75,000","6,12,000","12,50,000","AICTE, UGC "
234,IMS Unison University,BA,BA {Hons.} Economics, Dehradun, Uttarakhand,4,232,255,2025,"₹ 4,53,500",,"41,62,000","AICTE, BCI, UGC, AIU "
235,Jagiroad College,BA,BA English, Marigaon, Assam,3.9,233,255,2025,"₹ 13,270",,,
236,Sanskriti College,BA,B.V.A Sculptures, Jaipur, Rajasthan,3.3,234,255,2025,"₹ 1,50,900",,,
237,Anandaram Dhekial Phookan College,BA,BA Sanskrit, Nagaon, Assam,4,235,255,2025,"₹ 28,040",,,UGC 
238,SS Jain Subodh PG Mahila Mahavidyalaya,BA,BA Economics, Jaipur, Rajasthan,3.9,236,255,2025,"₹ 60,550",,,NCTE 
239,Sikkim Manipal University,BA,BA English, East Sikkim, Sikkim,4,237,255,2025,"₹ 1,86,100","6,48,000","54,00,000","AICTE, INC, MCI, UGC "
240,St. Pauls College,BA,BA Photography, Bangalore, Karnataka,3.7,238,255,2025,"₹ 1,53,000",,,
241,Vivekanandha College of Arts and Sciences for Women,BA,BA English, Namakkal, Tamil Nadu,4.4,239,255,2025,"₹ 87,000","2,59,000","5,00,000",AICTE 
242,Abhayapuri College,BA,BA Political Science, Bongaigaon, Assam,3.3,240,255,2025,"₹ 5,220",,,UGC 
243,PB Siddhartha College Arts and Science,BA,BA Economics, Vijayawada, Andhra Pradesh,4.1,241,255,2025,"₹ 45,000",,"6,00,000","AICTE, UGC "
244,Sree Narayana Guru College of Advanced Studies Vazhukumpara,BA,BA English, Thrissur, Kerala,3.5,242,255,2025,"₹ 61,275",,,
245,Nazareth College of Arts & Science,BA,BA English, Avadi, Tamil Nadu,2.9,243,255,2025,"₹ 51,000",,,
246,Sardar Patel Mahavidyalaya,BA,BA, Chandrapur, Maharashtra,2.9,244,255,2025,"₹ 32,560",,,AICTE 
247,Thiruthangal Nadar College,BA,BA Criminology and Police Administration, Chennai, Tamil Nadu,3.5,245,255,2025,"₹ 73,500",,,
248,K.S.R. College of Arts and Science for Women,BA,BA English, Tiruchengodu, Tamil Nadu,4.2,246,255,2025,"₹ 19,080",,,
249,Government Arts College,BA,BA Public Administration, Salem, Tamil Nadu,4.2,247,255,2025,"₹ 2,945",,,UGC 
