,College Names,Degress,Course,City,State,Rating for 5,Rank,Total Rank,Year of Rank,Fees in Ruppes,Average Package,Highest Package,Approved
112,St Wilfred's PG College,BCA,BCA, Jaipur, Rajasthan,4,112,251,2025,"₹ 45,000",,,AICTE 
113,DC School of Management and Technology   Vagamon,BCA,BCA, Idukki, Kerala,3.9,114,251,2025,"₹ 1,31,000",,,AICTE 
114,SAGE University,BCA,BCA, Indore, Madhya Pradesh,3.9,115,251,2025,"₹ 2,34,200","3,60,000","30,00,000","AICTE, COA, PCI, BCI, UGC "
115,Surana College,BCA,BCA Artificial Intelligence, Bangalore, Karnataka,3.9,116,251,2025,"₹ 3,00,000","7,00,000","16,41,000","AICTE, UGC "
116,PES University,BCA,BCA, Bangalore, Karnataka,4,117,251,2025,"₹ 7,90,000","10,10,000","65,00,000","AICTE, UGC "
117,The Bhopal School of Social Sciences,BCA,BCA, Bhopal, Madhya Pradesh,4.1,118,251,2025,"₹ 2,90,000",,"7,60,000",UGC 
118,Maharaja Sayajirao University of Baroda,BCA,BCA {Hons.}, Vadodara, Gujarat,4,119,251,2025,"₹ 1,91,280",,,UGC 
119,Sacred Heart College (Autonomous),BCA,BCA, Tiruppattur, Tamil Nadu,3.9,122,251,2025,"₹ 90,000",,"2,80,000",
120,Marian College Kuttikanam,BCA,BCA, Peermade, Kerala,4.3,123,251,2025,"₹ 2,28,590","4,00,000","14,00,000","AICTE, NBA "
121,Chandrabhan Sharma College of Arts,BCA,BCA, Mumbai, Maharashtra,4,124,251,2025,"₹ 90,000",,,AICTE 
122,Kongu Arts and Science College,BCA,BCA, Erode, Tamil Nadu,4.2,125,251,2025,"₹ 87,000",,"5,20,000","AICTE, UGC "
123,ICFAI University,BCA,BCA Cyber Security, Gangtok, Sikkim,3.5,126,251,2025,"₹ 2,60,000","1,87,000","8,00,000","AICTE, BCI, UGC, AIU "
124,Siva Sivani Degree College,BCA,BCA, Hyderabad, Telangana,5,127,251,2025,"₹ 1,10,000","4,00,000","7,50,000",
