,College Names,Degress,Course,City,State,Rating for 5,Rank,Total Rank,Year of Rank,Fees in Ruppes,Average Package,Highest Package,Approved
104,SS Jain Subodh PG College,B.Com,B.Com, Jaipur, Rajasthan,3.6,95,317,2025,"₹ 55,200",,,
105,Rajagiri College of Social Sciences,B.Com,B.Com Taxation And Finance, Kochi, Kerala,3.9,96,317,2025,"₹ 57,804","6,90,000","13,58,000","AICTE, UGC, AIU "
106,St Ann's College for Women,B.Com,B.Com Computer Applications, Hyderabad, Telangana,4,97,317,2025,"₹ 18,150",,"13,00,000",AICTE 
107,Ramaiah College of Arts,B.Com,B.Com, Bangalore, Karnataka,4,99,317,2025,"₹ 3,15,000","3,75,000","15,00,000","AICTE, UGC "
108,PG Government College for Girls,B.Com,B.Com, Chandigarh, Chandigarh,4.1,100,317,2025,"₹ 63,983",,,UGC 
109,St. Mira's College for Girls,B.Com,B.Com Banking & Finance, Pune, Maharashtra,3.6,101,317,2025,"₹ 46,240",,,
110,DAV College,B.Com,B.Com, Chandigarh, Chandigarh,4,102,317,2025,"₹ 85,066",,"21,00,000",UGC 
111,Sri Krishna Arts and Science College,B.Com,B.Com, Coimbatore, Tamil Nadu,4.2,103,317,2025,"₹ 4,05,000","3,60,000","16,00,000",UGC 
112,St Joseph's Degree and  PG College,B.Com,B.Com, Hyderabad, Telangana,3.9,104,317,2025,"₹ 18,150","4,10,000","12,00,000",
113,Indian Institute of Management and Commerce,B.Com,B.Com Computer Applications, Hyderabad, Telangana,3.9,106,317,2025,"₹ 1,87,500","12,00,000","28,00,000",UGC 
114,St Aloysius (Deemed To Be University),B.Com,B.Com, Mangalore, Karnataka,3.8,107,317,2025,"₹ 2,37,000",,"15,00,000","NCTE, AICTE, BCI, UGC "
115,Prestige Institute of Management and Research,B.Com,B.Com {Hons.}, Indore, Madhya Pradesh,3.8,108,317,2025,"₹ 7,38,000","4,41,000","32,00,000","AICTE, BCI, UGC "
116,Prestige Institute of Management & Research,B.Com,B.Com Computer Applications, Gwalior, Madhya Pradesh,4.1,109,317,2025,,"5,20,000","15,00,000","AICTE, NBA "
117,L.S. Raheja College of Arts and Commerce,B.Com,B.Com Accounting And Finance, Mumbai, Maharashtra,3.5,110,317,2025,"₹ 1,26,900",,,
118,The Oxford College of Business Management,B.Com,B.Com, Bangalore, Karnataka,3.5,111,317,2025,"₹ 3,00,000","5,00,000","10,00,000",AICTE 
119,Kelkar Education Trust's V.G. Vaze College of Arts Science and Commerce,B.Com,B.Com Accounting And Finance, Mumbai, Maharashtra,4.1,112,317,2025,"₹ 98,566",,,UGC 
120,St Joseph's University,B.Com,B.Com, Bangalore, Karnataka,4.1,113,317,2025,"₹ 3,80,000",,,"UGC, MHRD "
121,St. Joseph's College,B.Com,B.Com Computer Applications, Tiruchirappalli, Tamil Nadu,4.3,114,317,2025,"₹ 33,100",,,UGC 
122,Post Graduate Government College for Girls,B.Com,B.Com {Hons.} Management, Chandigarh, Chandigarh,4,116,317,2025,"₹ 67,638",,,
123,Anna Adarsh College for Women,B.Com,B.Com, Chennai, Tamil Nadu,4.2,117,317,2025,"₹ 2,51,000",,,
