,College Names,Degress,Course,City,State,Rating for 5,Rank,Total Rank,Year of Rank,Fees in Ruppes,Average Package,Highest Package,Approved
251,New Prince Shri Bhavani College of Engineering & Technology,M.Tech,ME Applied Electronics, Chennai, Tamil Nadu,3.2,287,500,2025,"₹ 60,000",,,AICTE 
252,GITAM School of Technology,M.Tech,M.Tech Data Science, Hyderabad, Telangana,4.1,288,500,2025,"₹ 2,56,000","6,86,000","1,40,00,000","AICTE, UGC "
253,Pune Vidhyarthi Griha's College of Engineering and Technology,M.Tech,ME Electrical power system, Pune, Maharashtra,3.8,291,500,2025,"₹ 2,20,000","4,95,000","30,00,000","AICTE, NBA "
254,Nitte Meenakshi Institute of Technology   (Deemed to be University),M.Tech,M.Tech Structural Engineering, Bangalore, Karnataka,3.9,292,500,2025,"₹ 2,52,000",,"59,00,000","AICTE, NBA "
255,University Institute of Technology,M.Tech,ME Electronics And Instrumentation Engineering, Bardhaman, West Bengal,3.3,293,500,2025,"₹ 82,000",,,"AICTE, UGC, NBA "
256,Vel Tech Rangarajan Dr. Sagunthala R and D Institute of Science and Technology,M.Tech,M.Tech Cyber Security, Chennai, Tamil Nadu,3.7,294,500,2025,"₹ 1,35,000",,"44,00,000","BCI, NBA "
257,RV University,M.Tech,M.Tech Computer Science And Engineering, Bangalore, Karnataka,3.8,295,500,2025,"₹ 7,82,000",,,"BCI, UGC "
258,New Horizon College of Engineering,M.Tech,M.Tech Computer Science And Engineering, Bangalore, Karnataka,4.2,298,500,2025,"₹ 2,00,000","8,00,000","29,00,000","AICTE, UGC, NBA "
259,Ghani Khan Choudhury Institute Of Engineering and Technology,M.Tech,M.Tech Advanced Power Systems, Malda, West Bengal,3.9,301,500,2025,,"2,70,000","6,50,000","AICTE, MHRD "
260,B. N. M. Institute of Technology,M.Tech,M.Tech Computer Science And Engineering, Bangalore, Karnataka,3.8,303,500,2025,"₹ 2,50,000","6,16,000","34,28,000","AICTE, NBA "
261,Sir M Visvesvaraya Institute of Technology,M.Tech,M.Tech Computer Integrated Manufacturing, Bangalore, Karnataka,3.8,304,500,2025,"₹ 2,01,940","7,00,000","15,73,000","AICTE, NBA "
262,Government College of Engineering & Textile Technology,M.Tech,M.Tech Textile Technology, Behrampore, West Bengal,3.8,306,500,2025,"₹ 40,400","4,00,000","12,00,000",AICTE 
263,KLS Gogte Institute of Technology,M.Tech,M.Tech Machine Design, Belgaum, Karnataka,3.7,307,500,2025,"₹ 1,38,600","6,54,000","51,00,000","AICTE, COA, UGC, NBA "
